Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Anion of Electrolyte ,[C] of Anion (M),Cation of Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,sum,< 70,Paper
Cu2(OH)2CO3,Nanoparticle,Carbon paper,100,-1.577,K+,1,OH-,1,AnIon exchange membrane,12.44067797,16.21621622,3.329238329,62.0754717,94.06160422,FALSE,
Cu,Nanoparticle,Glassy carbon,7.5,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,25.2,2.1,38.3,27.4,93,FALSE,Tailoring Copper Nanocrystals towards C2 Products in Electrochemical CO2 Reduction
Cu,Nanoparticle,Glassy carbon,27,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,47.6,3.1,34.4,15.5,100.6,FALSE,
Cu,Cube,Glassy carbon,24,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,54.7,3.3,35,9.8,102.8,FALSE,
Cu,Cube,Glassy carbon,44,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,20.5,2.1,28.7,46.4,97.7,FALSE,
Cu,Cube,Glassy carbon,63,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,32.3,1.2,27.8,32.3,93.6,FALSE,
CuxO,Nanocrystal,Cu,29.9,-1.13,K+,0.1,HCO3-,0.1,AnIon exchange membrane,99.66072943,0,0.212044105,0,99.87277354,FALSE,Mechanistic insights into the selective electroreduction of carbon dioxide to ethylene on CuxO-derived copper catalysts
CuxO,Nanocrystal,Cu,29.9,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,78.45631891,0,2.120441052,16.75148431,97.32824427,FALSE,
CuxO,Nanocrystal,Cu,29.9,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,59.37234945,0,3.180661578,33.47413062,96.02714165,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,34.56318914,0.636132316,7.209499576,56.59202714,99.00084817,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,49.40627651,1.272264631,10.60220526,36.47158609,97.75233249,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.64970314,2.120441052,25.23324852,24.17302799,98.1764207,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,51.73876166,2.756573367,12.72264631,32.8668363,100.0848176,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,43.25699746,7.633587786,32.6547922,11.02629347,94.57167092,FALSE,
CuxO,Nanocrystal,Cu,29.9,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,64.03731976,12.72264631,32.44274809,6.997455471,116.2001696,FALSE,
CuxO,Nanocrystal,Cu,18,-1.13,K+,0.1,HCO3-,0.1,AnIon exchange membrane,90.83969466,0,0.890585242,8.905852417,100.6361323,FALSE,
CuxO,Nanocrystal,Cu,18,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,75.27671756,0,1.16889313,24.78053435,101.226145,FALSE,
CuxO,Nanocrystal,Cu,18,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.16793893,0,1.335877863,44.94656489,99.45038168,FALSE,
CuxO,Nanocrystal,Cu,18,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,45.15267176,0,3.183842239,49.46819338,97.80470738,FALSE,
CuxO,Nanocrystal,Cu,18,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,42.12468193,1.959287532,15.18447837,38.94083969,98.20928752,FALSE,
CuxO,Nanocrystal,Cu,18,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,47.69083969,3.085877863,13.46564885,37.3110687,101.5534351,FALSE,
CuxO,Nanocrystal,Cu,18,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.25699746,4.920483461,12.73536896,27.49681934,98.40966922,FALSE,
CuxO,Nanocrystal,Cu,18,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,49.16030534,5.888994911,28.67684478,14.59446565,98.32061068,FALSE,
CuxO,Nanocrystal,Cu,18,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,51.65394402,11.88040712,25.82697201,10.07251908,99.43384223,FALSE,
CuxO,Nanocrystal,Cu,28.4,-1.13,K+,0.1,HCO3-,0.1,AnIon exchange membrane,100,0,0,0,100,FALSE,
CuxO,Nanocrystal,Cu,28.4,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,82.97413793,0,1.077586207,15.34482759,99.39655173,FALSE,
CuxO,Nanocrystal,Cu,28.4,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,75.86206897,0,1.293103448,23.55172414,100.7068966,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,52.15517241,0,4.094827586,44.28448276,100.5344828,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,43.96551724,0,4.956896552,51.75,100.6724138,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,37.28448276,1.077586207,3.879310345,57.86206897,100.1034483,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,39.65517241,1.077586207,4.310344828,55.18103448,100.2241379,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.01724138,5.387931034,14.87068966,27.15517241,100.4310345,FALSE,
CuxO,Nanocrystal,Cu,28.4,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,39.65517241,12.06896552,26.07758621,21.71551724,99.51724138,FALSE,
CuxO,Nanocrystal,Cu,40.6,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,96.7611336,0,0,2.226720648,98.98785425,FALSE,
CuxO,Nanocrystal,Cu,40.6,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,81.37651822,0,0.4048583,15.36032389,97.14170041,FALSE,
CuxO,Nanocrystal,Cu,40.6,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,89.06882591,0,0.809716599,9.311740891,99.1902834,FALSE,
CuxO,Nanocrystal,Cu,40.6,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,72.67206478,0,1.214574899,18.82591093,92.71255061,FALSE,
